A1,B1,C1,A2,B2,C2,A3,B3,C3,Result
0,0,1,0,2,1,0,2,0,X
2,0,1,0,2,1,0,2,0,X
2,0,1,1,2,1,0,2,0,X
2,0,1,1,2,1,2,2,0,X
2,0,1,1,2,1,2,2,1,X
0,0,0,0,0,0,0,2,0,O
0,1,0,0,0,0,0,2,0,O
0,1,0,0,0,0,0,2,2,O
0,1,0,0,0,1,0,2,2,O
0,1,0,0,2,1,0,2,2,O
0,1,0,1,2,1,0,2,2,O
0,1,0,1,2,1,2,2,2,O
0,2,0,0,0,0,0,0,0,X
0,2,0,0,1,0,0,0,0,X
0,2,2,0,1,0,0,0,0,X
0,2,2,0,1,0,0,0,1,X
0,2,2,0,1,0,0,2,1,X
1,2,2,0,1,0,0,2,1,X
0,0,0,0,0,2,0,0,0,O
0,0,1,0,0,2,0,0,0,O
0,0,1,0,2,2,0,0,0,O
0,0,1,0,2,2,0,1,0,O
0,0,1,0,2,2,0,1,2,O
0,1,1,0,2,2,0,1,2,O
2,1,1,0,2,2,0,1,2,O
0,0,0,0,0,0,0,2,0,O
0,0,0,0,0,0,0,2,1,O
0,2,0,0,0,0,0,2,1,O
0,2,1,0,0,0,0,2,1,O
0,2,1,0,0,0,2,2,1,O
0,2,1,1,0,0,2,2,1,O
0,2,1,1,0,2,2,2,1,O
1,2,1,1,0,2,2,2,1,O
1,2,1,1,2,2,2,2,1,O
0,0,0,2,0,0,0,0,0,O
0,0,0,2,0,1,0,0,0,O
0,0,0,2,0,1,0,0,2,O
0,0,0,2,1,1,0,0,2,O
0,0,0,2,1,1,2,0,2,O
1,0,0,2,1,1,2,0,2,O
1,0,2,2,1,1,2,0,2,O
1,1,2,2,1,1,2,0,2,O
1,1,2,2,1,1,2,2,2,O
0,0,2,0,0,0,0,0,0,O
0,0,2,0,0,1,0,0,0,O
0,0,2,0,2,1,0,0,0,O
0,0,2,0,2,1,1,0,0,O
2,0,2,0,2,1,1,0,0,O
2,0,2,0,2,1,1,0,1,O
2,2,2,0,2,1,1,0,1,O
0,0,2,0,0,0,0,0,0,_
0,1,2,0,0,0,0,0,0,_
0,1,2,2,0,0,0,0,0,_
0,1,2,2,1,0,0,0,0,_
0,1,2,2,1,0,0,2,0,_
0,1,2,2,1,0,1,2,0,_
2,1,2,2,1,0,1,2,0,_
2,1,2,2,1,0,1,2,1,_
2,1,2,2,1,2,1,2,1,_
0,0,2,0,0,0,0,0,0,O
0,0,2,1,0,0,0,0,0,O
0,0,2,1,0,2,0,0,0,O
0,0,2,1,0,2,0,1,0,O
0,0,2,1,0,2,2,1,0,O
1,0,2,1,0,2,2,1,0,O
1,2,2,1,0,2,2,1,0,O
1,2,2,1,0,2,2,1,1,O
1,2,2,1,2,2,2,1,1,O
0,0,0,2,0,0,0,0,0,O
0,0,0,2,0,1,0,0,0,O
0,0,0,2,0,1,2,0,0,O
0,0,1,2,0,1,2,0,0,O
0,2,1,2,0,1,2,0,0,O
0,2,1,2,1,1,2,0,0,O
0,2,1,2,1,1,2,0,2,O
0,2,1,2,1,1,2,1,2,O
2,2,1,2,1,1,2,1,2,O
0,0,0,2,0,0,0,0,0,O
0,0,0,2,0,1,0,0,0,O
0,0,0,2,2,1,0,0,0,O
1,0,0,2,2,1,0,0,0,O
1,0,0,2,2,1,0,0,2,O
1,0,0,2,2,1,1,0,2,O
1,0,0,2,2,1,1,2,2,O
1,0,1,2,2,1,1,2,2,O
1,2,1,2,2,1,1,2,2,O
0,0,0,0,0,0,0,0,2,X
0,1,0,0,0,0,0,0,2,X
0,1,0,2,0,0,0,0,2,X
0,1,1,2,0,0,0,0,2,X
0,1,1,2,0,0,0,2,2,X
0,1,1,2,1,0,0,2,2,X
0,1,1,2,1,2,0,2,2,X
1,1,1,2,1,2,0,2,2,X
0,0,0,0,0,0,0,0,2,O
0,0,0,0,0,0,1,0,2,O
0,2,0,0,0,0,1,0,2,O
0,2,1,0,0,0,1,0,2,O
2,2,1,0,0,0,1,0,2,O
2,2,1,1,0,0,1,0,2,O
2,2,1,1,0,0,1,2,2,O
2,2,1,1,0,1,1,2,2,O
2,2,1,1,2,1,1,2,2,O
0,0,0,0,0,2,0,0,0,X
0,1,0,0,0,2,0,0,0,X
0,1,0,0,2,2,0,0,0,X
0,1,0,0,2,2,0,0,1,X
0,1,0,0,2,2,2,0,1,X
1,1,0,0,2,2,2,0,1,X
1,1,0,0,2,2,2,2,1,X
1,1,1,0,2,2,2,2,1,X
0,0,0,0,0,2,0,0,0,O
0,0,0,0,0,2,1,0,0,O
0,2,0,0,0,2,1,0,0,O
0,2,0,0,0,2,1,0,1,O
0,2,0,0,2,2,1,0,1,O
1,2,0,0,2,2,1,0,1,O
1,2,0,0,2,2,1,2,1,O
2,0,0,0,0,0,0,0,0,_
2,0,0,0,0,0,0,0,1,_
2,0,0,0,0,0,2,0,1,_
2,0,0,1,0,0,2,0,1,_
2,0,0,1,2,0,2,0,1,_
2,1,0,1,2,0,2,0,1,_
2,1,0,1,2,2,2,0,1,_
2,1,1,1,2,2,2,0,1,_
2,1,1,1,2,2,2,2,1,_
0,0,0,0,0,0,0,0,2,_
1,0,0,0,0,0,0,0,2,_
1,2,0,0,0,0,0,0,2,_
1,2,0,0,0,1,0,0,2,_
1,2,0,2,0,1,0,0,2,_
1,2,0,2,0,1,0,1,2,_
1,2,2,2,0,1,0,1,2,_
1,2,2,2,1,1,0,1,2,_
1,2,2,2,1,1,2,1,2,_
2,0,0,0,0,0,0,0,0,X
2,0,0,0,0,0,1,0,0,X
2,0,0,2,0,0,1,0,0,X
2,0,0,2,1,0,1,0,0,X
2,0,0,2,1,0,1,0,2,X
2,1,0,2,1,0,1,0,2,X
2,1,0,2,1,2,1,0,2,X
2,1,0,2,1,2,1,1,2,X
0,0,0,0,2,0,0,0,0,O
0,0,1,0,2,0,0,0,0,O
0,2,1,0,2,0,0,0,0,O
1,2,1,0,2,0,0,0,0,O
1,2,1,2,2,0,0,0,0,O
1,2,1,2,2,0,1,0,0,O
1,2,1,2,2,0,1,0,2,O
1,2,1,2,2,1,1,0,2,O
1,2,1,2,2,1,1,2,2,O
0,2,0,0,0,0,0,0,0,X
0,2,0,0,1,0,0,0,0,X
2,2,0,0,1,0,0,0,0,X
2,2,0,0,1,1,0,0,0,X
2,2,0,0,1,1,0,2,0,X
2,2,1,0,1,1,0,2,0,X
2,2,1,0,1,1,2,2,0,X
2,2,1,1,1,1,2,2,0,X
0,0,0,0,2,0,0,0,0,O
0,0,0,0,2,0,1,0,0,O
0,0,0,0,2,2,1,0,0,O
0,0,0,0,2,2,1,1,0,O
0,0,0,0,2,2,1,1,2,O
0,0,0,1,2,2,1,1,2,O
0,0,2,1,2,2,1,1,2,O
0,0,0,0,0,2,0,0,0,O
0,0,0,0,0,2,0,1,0,O
0,0,0,2,0,2,0,1,0,O
0,0,0,2,0,2,1,1,0,O
0,0,0,2,2,2,1,1,0,O
0,0,2,0,0,0,0,0,0,X
0,0,2,0,0,0,0,1,0,X
0,0,2,0,0,0,2,1,0,X
0,0,2,0,1,0,2,1,0,X
0,0,2,0,1,0,2,1,2,X
1,0,2,0,1,0,2,1,2,X
1,0,2,2,1,0,2,1,2,X
1,1,2,2,1,0,2,1,2,X
0,0,0,0,2,0,0,0,0,O
0,0,0,1,2,0,0,0,0,O
0,0,0,1,2,0,0,0,2,O
0,1,0,1,2,0,0,0,2,O
0,1,0,1,2,0,2,0,2,O
1,1,0,1,2,0,2,0,2,O
1,1,0,1,2,2,2,0,2,O
1,1,0,1,2,2,2,1,2,O
1,1,2,1,2,2,2,1,2,O
0,0,0,0,0,0,2,0,0,O
0,0,0,0,0,0,2,1,0,O
0,0,0,0,0,0,2,1,2,O
1,0,0,0,0,0,2,1,2,O
1,0,2,0,0,0,2,1,2,O
1,0,2,1,0,0,2,1,2,O
1,2,2,1,0,0,2,1,2,O
1,2,2,1,0,1,2,1,2,O
1,2,2,1,2,1,2,1,2,O
0,2,0,0,0,0,0,0,0,O
0,2,0,0,1,0,0,0,0,O
0,2,0,0,1,2,0,0,0,O
0,2,0,0,1,2,0,0,1,O
2,2,0,0,1,2,0,0,1,O
2,2,0,1,1,2,0,0,1,O
2,2,2,1,1,2,0,0,1,O
0,2,0,0,0,0,0,0,0,X
0,2,0,0,1,0,0,0,0,X
0,2,0,0,1,0,2,0,0,X
0,2,0,0,1,1,2,0,0,X
2,2,0,0,1,1,2,0,0,X
2,2,0,1,1,1,2,0,0,X
2,0,0,0,0,0,0,0,0,O
2,0,0,0,0,0,0,1,0,O
2,0,0,0,0,0,0,1,2,O
2,1,0,0,0,0,0,1,2,O
2,1,2,0,0,0,0,1,2,O
2,1,2,1,0,0,0,1,2,O
2,1,2,1,0,0,2,1,2,O
2,1,2,1,0,1,2,1,2,O
2,1,2,1,2,1,2,1,2,O
0,0,0,0,0,2,0,0,0,_
0,0,1,0,0,2,0,0,0,_
0,0,1,0,0,2,2,0,0,_
0,0,1,1,0,2,2,0,0,_
0,0,1,1,0,2,2,2,0,_
0,0,1,1,1,2,2,2,0,_
2,0,1,1,1,2,2,2,0,_
2,0,1,1,1,2,2,2,1,_
2,2,1,1,1,2,2,2,1,_
0,2,0,0,0,0,0,0,0,O
0,2,0,0,0,0,0,1,0,O
0,2,2,0,0,0,0,1,0,O
0,2,2,1,0,0,0,1,0,O
0,2,2,1,2,0,0,1,0,O
1,2,2,1,2,0,0,1,0,O
1,2,2,1,2,0,2,1,0,O
0,0,0,0,0,0,2,0,0,O
0,1,0,0,0,0,2,0,0,O
0,1,0,0,2,0,2,0,0,O
0,1,0,0,2,0,2,1,0,O
2,1,0,0,2,0,2,1,0,O
2,1,0,0,2,1,2,1,0,O
2,1,0,2,2,1,2,1,0,O
0,0,0,0,2,0,0,0,0,X
0,0,0,1,2,0,0,0,0,X
0,2,0,1,2,0,0,0,0,X
0,2,0,1,2,0,1,0,0,X
0,2,0,1,2,0,1,0,2,X
0,2,0,1,2,0,1,1,2,X
0,2,2,1,2,0,1,1,2,X
1,2,2,1,2,0,1,1,2,X
0,0,2,0,0,0,0,0,0,O
0,0,2,0,1,0,0,0,0,O
2,0,2,0,1,0,0,0,0,O
2,0,2,0,1,0,1,0,0,O
2,0,2,0,1,2,1,0,0,O
2,0,2,1,1,2,1,0,0,O
2,0,2,1,1,2,1,2,0,O
2,1,2,1,1,2,1,2,0,O
2,1,2,1,1,2,1,2,2,O
0,0,0,0,0,0,0,0,2,O
0,0,0,1,0,0,0,0,2,O
0,0,0,1,0,2,0,0,2,O
0,1,0,1,0,2,0,0,2,O
0,1,0,1,0,2,0,2,2,O
0,1,1,1,0,2,0,2,2,O
0,1,1,1,0,2,2,2,2,O
0,0,0,0,0,2,0,0,0,X
0,1,0,0,0,2,0,0,0,X
0,1,0,0,0,2,0,2,0,X
1,1,0,0,0,2,0,2,0,X
1,1,2,0,0,2,0,2,0,X
1,1,2,1,0,2,0,2,0,X
1,1,2,1,2,2,0,2,0,X
1,1,2,1,2,2,1,2,0,X
0,0,0,0,0,2,0,0,0,X
0,0,0,1,0,2,0,0,0,X
0,0,0,1,0,2,0,0,2,X
0,0,1,1,0,2,0,0,2,X
0,2,1,1,0,2,0,0,2,X
0,2,1,1,0,2,1,0,2,X
0,2,1,1,0,2,1,2,2,X
1,2,1,1,0,2,1,2,2,X
2,0,0,0,0,0,0,0,0,X
2,0,0,0,1,0,0,0,0,X
2,0,0,2,1,0,0,0,0,X
2,0,1,2,1,0,0,0,0,X
2,0,1,2,1,0,0,0,2,X
2,0,1,2,1,0,1,0,2,X
0,0,0,0,0,0,2,0,0,_
0,0,0,0,0,1,2,0,0,_
0,0,0,2,0,1,2,0,0,_
0,0,0,2,0,1,2,1,0,_
0,0,0,2,2,1,2,1,0,_
1,0,0,2,2,1,2,1,0,_
1,0,0,2,2,1,2,1,2,_
1,0,1,2,2,1,2,1,2,_
1,2,1,2,2,1,2,1,2,_
0,0,0,0,2,0,0,0,0,_
0,0,0,0,2,0,0,1,0,_
0,0,0,0,2,2,0,1,0,_
0,0,1,0,2,2,0,1,0,_
0,0,1,0,2,2,2,1,0,_
1,0,1,0,2,2,2,1,0,_
1,2,1,0,2,2,2,1,0,_
1,2,1,1,2,2,2,1,0,_
1,2,1,1,2,2,2,1,2,_
0,0,2,0,0,0,0,0,0,X
0,0,2,0,0,0,1,0,0,X
0,0,2,0,0,0,1,2,0,X
0,0,2,1,0,0,1,2,0,X
0,0,2,1,0,0,1,2,2,X
0,0,2,1,1,0,1,2,2,X
2,0,2,1,1,0,1,2,2,X
2,0,2,1,1,1,1,2,2,X
0,2,0,0,0,0,0,0,0,X
0,2,1,0,0,0,0,0,0,X
2,2,1,0,0,0,0,0,0,X
2,2,1,0,1,0,0,0,0,X
2,2,1,2,1,0,0,0,0,X
2,2,1,2,1,1,0,0,0,X
2,2,1,2,1,1,0,2,0,X
2,2,1,2,1,1,0,2,1,X
0,0,0,0,0,2,0,0,0,X
0,0,0,0,0,2,0,1,0,X
0,0,0,0,0,2,0,1,2,X
0,0,0,0,0,2,1,1,2,X
0,0,0,2,0,2,1,1,2,X
0,0,0,2,1,2,1,1,2,X
2,0,0,2,1,2,1,1,2,X
2,1,0,2,1,2,1,1,2,X
0,2,0,0,0,0,0,0,0,_
0,2,0,1,0,0,0,0,0,_
0,2,0,1,0,0,0,0,2,_
0,2,0,1,1,0,0,0,2,_
0,2,0,1,1,2,0,0,2,_
0,2,1,1,1,2,0,0,2,_
2,2,1,1,1,2,0,0,2,_
2,2,1,1,1,2,0,1,2,_
2,2,1,1,1,2,2,1,2,_
0,0,0,0,0,0,0,0,2,O
1,0,0,0,0,0,0,0,2,O
1,2,0,0,0,0,0,0,2,O
1,2,0,0,0,1,0,0,2,O
1,2,0,0,0,1,0,2,2,O
1,2,1,0,0,1,0,2,2,O
1,2,1,2,0,1,0,2,2,O
1,2,1,2,1,1,0,2,2,O
1,2,1,2,1,1,2,2,2,O
2,0,0,0,0,0,0,0,0,O
2,0,0,0,0,0,1,0,0,O
2,0,0,0,2,0,1,0,0,O
2,1,0,0,2,0,1,0,0,O
2,1,0,0,2,0,1,2,0,O
2,1,1,0,2,0,1,2,0,O
2,1,1,0,2,2,1,2,0,O
2,1,1,0,2,2,1,2,1,O
2,1,1,2,2,2,1,2,1,O
2,0,0,0,0,0,0,0,0,O
2,0,0,0,0,1,0,0,0,O
2,0,2,0,0,1,0,0,0,O
2,1,2,0,0,1,0,0,0,O
2,1,2,0,2,1,0,0,0,O
2,1,2,0,2,1,0,0,1,O
2,1,2,0,2,1,2,0,1,O
0,0,0,0,0,0,0,2,0,O
0,0,0,0,0,1,0,2,0,O
0,2,0,0,0,1,0,2,0,O
0,2,0,0,0,1,0,2,1,O
0,2,0,2,0,1,0,2,1,O
0,2,0,2,1,1,0,2,1,O
2,2,0,2,1,1,0,2,1,O
2,2,0,2,1,1,1,2,1,O
2,2,2,2,1,1,1,2,1,O
0,0,0,0,0,0,2,0,0,O
0,0,0,1,0,0,2,0,0,O
2,0,0,1,0,0,2,0,0,O
2,0,0,1,0,1,2,0,0,O
2,0,0,1,2,1,2,0,0,O
2,1,0,1,2,1,2,0,0,O
2,1,0,1,2,1,2,2,0,O
2,1,0,1,2,1,2,2,1,O
2,1,2,1,2,1,2,2,1,O
2,0,0,0,0,0,0,0,0,_
2,0,0,1,0,0,0,0,0,_
2,0,0,1,0,0,2,0,0,_
2,0,0,1,0,0,2,0,1,_
2,0,0,1,0,0,2,2,1,_
2,0,1,1,0,0,2,2,1,_
2,2,1,1,0,0,2,2,1,_
2,2,1,1,1,0,2,2,1,_
2,2,1,1,1,2,2,2,1,_
0,0,2,0,0,0,0,0,0,O
0,0,2,0,0,0,1,0,0,O
0,0,2,0,0,2,1,0,0,O
0,1,2,0,0,2,1,0,0,O
0,1,2,0,0,2,1,2,0,O
0,1,2,0,0,2,1,2,1,O
0,1,2,0,2,2,1,2,1,O
1,1,2,0,2,2,1,2,1,O
1,1,2,2,2,2,1,2,1,O
0,0,0,0,0,0,0,2,0,O
0,0,0,0,1,0,0,2,0,O
0,0,0,0,1,0,0,2,2,O
0,1,0,0,1,0,0,2,2,O
0,1,2,0,1,0,0,2,2,O
0,1,2,0,1,0,1,2,2,O
0,1,2,0,1,2,1,2,2,O
0,0,0,0,0,0,0,2,0,_
0,0,0,0,1,0,0,2,0,_
0,0,0,0,1,2,0,2,0,_
0,0,0,0,1,2,0,2,1,_
0,0,0,2,1,2,0,2,1,_
0,1,0,2,1,2,0,2,1,_
2,1,0,2,1,2,0,2,1,_
2,1,0,2,1,2,1,2,1,_
2,1,2,2,1,2,1,2,1,_
2,0,0,0,0,0,0,0,0,O
2,1,0,0,0,0,0,0,0,O
2,1,2,0,0,0,0,0,0,O
2,1,2,1,0,0,0,0,0,O
2,1,2,1,0,0,0,0,2,O
2,1,2,1,0,0,0,1,2,O
2,1,2,1,2,0,0,1,2,O
0,0,0,0,2,0,0,0,0,O
0,0,0,1,2,0,0,0,0,O
0,0,0,1,2,2,0,0,0,O
0,1,0,1,2,2,0,0,0,O
0,1,2,1,2,2,0,0,0,O
1,1,2,1,2,2,0,0,0,O
1,1,2,1,2,2,0,0,2,O
0,0,0,0,0,0,0,0,2,X
0,0,0,1,0,0,0,0,2,X
0,0,0,1,2,0,0,0,2,X
1,0,0,1,2,0,0,0,2,X
1,0,0,1,2,2,0,0,2,X
1,0,0,1,2,2,1,0,2,X
0,0,0,0,0,2,0,0,0,X
0,0,1,0,0,2,0,0,0,X
0,0,1,0,0,2,0,0,2,X
0,0,1,0,0,2,1,0,2,X
2,0,1,0,0,2,1,0,2,X
2,0,1,0,1,2,1,0,2,X
0,0,0,0,2,0,0,0,0,O
0,1,0,0,2,0,0,0,0,O
0,1,0,2,2,0,0,0,0,O
0,1,0,2,2,0,1,0,0,O
2,1,0,2,2,0,1,0,0,O
2,1,0,2,2,0,1,0,1,O
2,1,0,2,2,2,1,0,1,O
0,0,0,0,2,0,0,0,0,O
0,0,0,1,2,0,0,0,0,O
0,0,0,1,2,0,2,0,0,O
1,0,0,1,2,0,2,0,0,O
1,0,0,1,2,0,2,2,0,O
1,1,0,1,2,0,2,2,0,O
1,1,0,1,2,2,2,2,0,O
1,1,0,1,2,2,2,2,1,O
1,1,2,1,2,2,2,2,1,O
0,0,0,0,0,0,2,0,0,X
0,0,0,0,1,0,2,0,0,X
0,0,0,2,1,0,2,0,0,X
0,0,0,2,1,0,2,0,1,X
0,0,0,2,1,0,2,2,1,X
0,0,1,2,1,0,2,2,1,X
0,0,1,2,1,2,2,2,1,X
1,0,1,2,1,2,2,2,1,X
0,0,0,0,0,2,0,0,0,_
0,1,0,0,0,2,0,0,0,_
0,1,0,0,0,2,0,2,0,_
0,1,0,0,1,2,0,2,0,_
0,1,0,0,1,2,2,2,0,_
0,1,0,0,1,2,2,2,1,_
2,1,0,0,1,2,2,2,1,_
2,1,0,1,1,2,2,2,1,_
2,1,2,1,1,2,2,2,1,_
0,0,0,0,0,2,0,0,0,X
0,0,0,0,0,2,0,0,1,X
0,0,0,0,0,2,2,0,1,X
0,0,0,0,0,2,2,1,1,X
0,0,2,0,0,2,2,1,1,X
0,0,2,0,1,2,2,1,1,X
0,0,2,2,1,2,2,1,1,X
0,1,2,2,1,2,2,1,1,X
0,0,0,0,0,2,0,0,0,X
0,0,0,0,1,2,0,0,0,X
2,0,0,0,1,2,0,0,0,X
2,0,1,0,1,2,0,0,0,X
2,0,1,0,1,2,0,0,2,X
2,0,1,1,1,2,0,0,2,X
2,0,1,1,1,2,0,2,2,X
2,0,1,1,1,2,1,2,2,X
0,0,0,0,0,0,0,0,2,_
0,0,0,0,0,0,0,1,2,_
0,2,0,0,0,0,0,1,2,_
0,2,1,0,0,0,0,1,2,_
0,2,1,0,0,2,0,1,2,_
0,2,1,1,0,2,0,1,2,_
2,2,1,1,0,2,0,1,2,_
2,2,1,1,1,2,0,1,2,_
2,2,1,1,1,2,2,1,2,_
2,0,0,0,0,0,0,0,0,X
2,0,0,0,0,0,0,1,0,X
2,0,0,0,0,2,0,1,0,X
2,1,0,0,0,2,0,1,0,X
2,1,0,0,0,2,2,1,0,X
2,1,0,0,1,2,2,1,0,X
0,2,0,0,0,0,0,0,0,_
0,2,0,0,0,1,0,0,0,_
0,2,0,2,0,1,0,0,0,_
0,2,0,2,0,1,0,1,0,_
0,2,0,2,0,1,0,1,2,_
1,2,0,2,0,1,0,1,2,_
1,2,0,2,2,1,0,1,2,_
1,2,0,2,2,1,1,1,2,_
1,2,2,2,2,1,1,1,2,_
0,0,0,0,0,0,2,0,0,O
0,0,0,1,0,0,2,0,0,O
0,0,0,1,0,2,2,0,0,O
0,0,1,1,0,2,2,0,0,O
2,0,1,1,0,2,2,0,0,O
2,0,1,1,1,2,2,0,0,O
2,0,1,1,1,2,2,2,0,O
2,1,1,1,1,2,2,2,0,O
2,1,1,1,1,2,2,2,2,O
0,0,0,0,0,0,2,0,0,X
0,0,0,0,0,1,2,0,0,X
0,2,0,0,0,1,2,0,0,X
0,2,0,0,1,1,2,0,0,X
0,2,0,2,1,1,2,0,0,X
0,2,1,2,1,1,2,0,0,X
0,2,1,2,1,1,2,2,0,X
0,2,1,2,1,1,2,2,1,X
0,0,0,0,0,0,2,0,0,O
0,0,0,0,0,0,2,0,1,O
0,0,0,2,0,0,2,0,1,O
0,0,0,2,0,1,2,0,1,O
0,2,0,2,0,1,2,0,1,O
0,2,0,2,0,1,2,1,1,O
0,2,0,2,2,1,2,1,1,O
1,2,0,2,2,1,2,1,1,O
1,2,2,2,2,1,2,1,1,O
0,0,0,0,0,0,0,0,2,X
1,0,0,0,0,0,0,0,2,X
1,2,0,0,0,0,0,0,2,X
1,2,1,0,0,0,0,0,2,X
1,2,1,0,0,0,0,2,2,X
1,2,1,0,0,0,1,2,2,X
1,2,1,0,0,2,1,2,2,X
1,2,1,0,1,2,1,2,2,X
0,0,0,0,0,0,2,0,0,O
0,0,0,0,1,0,2,0,0,O
0,2,0,0,1,0,2,0,0,O
0,2,0,0,1,0,2,1,0,O
0,2,0,0,1,0,2,1,2,O
0,2,0,0,1,1,2,1,2,O
0,2,0,2,1,1,2,1,2,O
0,2,1,2,1,1,2,1,2,O
2,2,1,2,1,1,2,1,2,O
0,0,0,0,0,2,0,0,0,O
0,1,0,0,0,2,0,0,0,O
0,1,0,0,2,2,0,0,0,O
0,1,0,0,2,2,0,0,1,O
0,1,2,0,2,2,0,0,1,O
1,1,2,0,2,2,0,0,1,O
1,1,2,0,2,2,0,2,1,O
1,1,2,0,2,2,1,2,1,O
1,1,2,2,2,2,1,2,1,O
0,0,0,2,0,0,0,0,0,O
1,0,0,2,0,0,0,0,0,O
1,2,0,2,0,0,0,0,0,O
1,2,1,2,0,0,0,0,0,O
1,2,1,2,2,0,0,0,0,O
1,2,1,2,2,0,1,0,0,O
1,2,1,2,2,0,1,2,0,O
0,0,2,0,0,0,0,0,0,O
0,0,2,0,0,1,0,0,0,O
0,2,2,0,0,1,0,0,0,O
0,2,2,0,0,1,0,1,0,O
0,2,2,0,2,1,0,1,0,O
1,2,2,0,2,1,0,1,0,O
1,2,2,0,2,1,0,1,2,O
1,2,2,1,2,1,0,1,2,O
1,2,2,1,2,1,2,1,2,O
0,0,0,0,0,0,0,0,2,O
0,0,0,0,0,0,1,0,2,O
0,2,0,0,0,0,1,0,2,O
0,2,0,0,0,0,1,1,2,O
0,2,0,0,2,0,1,1,2,O
0,2,0,0,2,1,1,1,2,O
0,2,2,0,2,1,1,1,2,O
0,2,2,1,2,1,1,1,2,O
2,2,2,1,2,1,1,1,2,O
0,0,2,0,0,0,0,0,0,_
1,0,2,0,0,0,0,0,0,_
1,2,2,0,0,0,0,0,0,_
1,2,2,0,0,0,0,1,0,_
1,2,2,2,0,0,0,1,0,_
1,2,2,2,1,0,0,1,0,_
1,2,2,2,1,0,0,1,2,_
1,2,2,2,1,1,0,1,2,_
1,2,2,2,1,1,2,1,2,_
0,2,0,0,0,0,0,0,0,X
0,2,0,0,0,1,0,0,0,X
0,2,0,0,0,1,0,2,0,X
0,2,0,0,0,1,1,2,0,X
0,2,0,2,0,1,1,2,0,X
0,2,0,2,1,1,1,2,0,X
2,2,0,2,1,1,1,2,0,X
2,2,1,2,1,1,1,2,0,X
0,0,2,0,0,0,0,0,0,O
0,0,2,1,0,0,0,0,0,O
0,0,2,1,0,0,0,2,0,O
0,0,2,1,0,1,0,2,0,O
0,0,2,1,0,1,0,2,2,O
0,0,2,1,0,1,1,2,2,O
0,0,2,1,2,1,1,2,2,O
0,1,2,1,2,1,1,2,2,O
2,1,2,1,2,1,1,2,2,O
0,0,0,0,0,0,0,0,2,O
0,0,0,0,0,0,1,0,2,O
0,2,0,0,0,0,1,0,2,O
1,2,0,0,0,0,1,0,2,O
1,2,0,2,0,0,1,0,2,O
1,2,0,2,1,0,1,0,2,O
1,2,0,2,1,2,1,0,2,O
1,2,0,2,1,2,1,1,2,O
1,2,2,2,1,2,1,1,2,O
0,0,0,0,2,0,0,0,0,O
0,0,0,0,2,1,0,0,0,O
0,0,0,0,2,1,0,2,0,O
0,0,0,0,2,1,0,2,1,O
0,2,0,0,2,1,0,2,1,O
0,0,2,0,0,0,0,0,0,X
0,0,2,0,0,0,0,0,1,X
0,2,2,0,0,0,0,0,1,X
0,2,2,1,0,0,0,0,1,X
0,2,2,1,0,0,0,2,1,X
0,2,2,1,1,0,0,2,1,X
0,2,2,1,1,2,0,2,1,X
1,2,2,1,1,2,0,2,1,X
2,0,0,0,0,0,0,0,0,O
2,1,0,0,0,0,0,0,0,O
2,1,0,0,0,2,0,0,0,O
2,1,0,0,0,2,0,1,0,O
2,1,0,0,0,2,0,1,2,O
2,1,0,0,0,2,1,1,2,O
2,1,0,0,2,2,1,1,2,O
0,0,0,0,0,2,0,0,0,O
1,0,0,0,0,2,0,0,0,O
1,0,0,0,2,2,0,0,0,O
1,0,0,0,2,2,0,1,0,O
1,0,2,0,2,2,0,1,0,O
1,0,2,0,2,2,1,1,0,O
1,0,2,0,2,2,1,1,2,O
0,0,0,0,0,0,2,0,0,O
0,0,0,0,0,0,2,1,0,O
0,2,0,0,0,0,2,1,0,O
0,2,1,0,0,0,2,1,0,O
0,2,1,2,0,0,2,1,0,O
0,2,1,2,1,0,2,1,0,O
0,2,1,2,1,0,2,1,2,O
0,2,1,2,1,1,2,1,2,O
2,2,1,2,1,1,2,1,2,O
2,0,0,0,0,0,0,0,0,O
2,0,0,0,1,0,0,0,0,O
2,0,0,0,1,2,0,0,0,O
2,0,0,0,1,2,0,0,1,O
2,0,2,0,1,2,0,0,1,O
2,0,2,1,1,2,0,0,1,O
2,2,2,1,1,2,0,0,1,O
2,0,0,0,0,0,0,0,0,X
2,1,0,0,0,0,0,0,0,X
2,1,0,0,0,0,2,0,0,X
2,1,0,0,0,0,2,1,0,X
2,1,0,0,0,0,2,1,2,X
2,1,0,1,0,0,2,1,2,X
2,1,0,1,0,2,2,1,2,X
2,1,0,1,1,2,2,1,2,X
0,0,0,2,0,0,0,0,0,O
0,0,0,2,0,0,0,1,0,O
2,0,0,2,0,0,0,1,0,O
2,0,0,2,0,0,1,1,0,O
2,0,0,2,0,2,1,1,0,O
2,0,1,2,0,2,1,1,0,O
2,0,1,2,2,2,1,1,0,O
0,0,0,0,0,0,0,0,2,O
0,0,0,0,0,1,0,0,2,O
0,0,0,0,0,1,2,0,2,O
0,1,0,0,0,1,2,0,2,O
0,1,0,0,0,1,2,2,2,O
2,0,0,0,0,0,0,0,0,O
2,0,0,0,0,0,0,0,1,O
2,0,2,0,0,0,0,0,1,O
2,0,2,1,0,0,0,0,1,O
2,2,2,1,0,0,0,0,1,O
0,0,0,0,0,0,0,0,2,O
